Original_Feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46
V1,0.05992982602381425,-0.01651752402425723,-0.03704462680510239,-0.24948378828579004,-0.1272384629083661,2.3817169048040485e-05,-0.11338272732838492,-0.31945232126096146,-0.012525463987427928,0.21370778113316458,0.15295242163482667,0.06828413099487134,0.008455308539746593,0.04900722134647608,-0.12417937196300861,-0.07292499322685439,0.021003649828500302,0.11086546320433098,0.03875911102655637,-0.06159163691622909,-0.20375968695506716,-0.15711918007746595,-0.021522599885063443,-0.1872727006760711,0.15172060816072627,0.10528095358166167,-0.03218751611894309,-0.12268496360725535,-0.0740820315600937,-0.2750340743005004,-0.09206272227171762,0.029778147263553024,0.12166840391570195,-0.011736678292013011,-0.03279363476026526,0.15756851223091775,-0.11524236536451046,-0.10169953284860465,0.09863040971683285,0.00023089389826660717,0.1104912121430322,-0.025991768615850085,0.01555379130778079,-0.006374215346489953,-0.11277235681387326,0.14828100364237198
V2,-0.03529393353891552,-0.11553149010735936,-0.12398215769275098,0.17495401036034092,0.13692325621599927,-0.11732066780484221,-0.047803790507939634,-0.1488681562052973,0.22117407831449365,0.15258647018194305,0.004481638906125546,-0.14688604939312316,0.09098992926885713,-0.23062538825177692,-0.1720404436641369,0.08850192766870155,0.1471902828378422,-0.18037429233520155,0.14609786906783165,-0.0988772309355235,-0.11864205807012954,-0.10188141795716509,0.0752486072737611,0.01582456699587221,-0.13123085330751677,-0.12237712254503672,-0.1480192518087841,0.0023514534372455365,-0.02018264568739054,0.008413493201414296,0.07976321435243891,-0.13021441450334312,-0.21325093737731352,-0.12757273741171626,0.06554940740855073,0.10978146896236524,0.09847395794367444,0.11907787808354037,-0.014707542306504555,-0.08200172740097957,0.09846071275507527,-0.18275806479989914,0.05417920154125413,-0.023689497501539453,-0.2121379597647057,-0.15544112077221395
V3,0.09150101231093288,0.16135479385072513,0.0307346546577542,-0.08474228627184827,-0.13611871316887908,-0.1216448195732653,-0.09223332294676063,-0.08431963523578816,0.018992599119938735,0.0971054012625154,-0.17259357913903964,0.04825222059840098,-0.2515457709772603,-0.09519600865185675,-0.14007500179413482,0.0683207998952147,0.04518702471695937,-0.24830976925331905,-0.0028783046091087686,0.04050758900972226,-0.1913402596867399,0.041967363282513714,-0.07118914202046779,0.12941260885292497,-0.14431348825825274,0.21264088821086735,0.1961906760441804,0.11966792754220715,-0.0778788993315126,-0.19703621169010238,-0.1037484201772708,0.04426991904660002,-0.25122333791241486,-0.050745752039454514,-0.01547412404233261,-0.18809033637717715,-0.0885944064221286,-0.2302770070394088,-0.2146987827236188,-0.04193905442977475,-0.10032784566241035,0.018339601228931125,-0.16075873066181245,-0.058298026926526594,0.2613808798872468,0.08817011416545122
V4,0.15489759140929904,-0.0013406669006463257,-0.003716046657768479,-0.14845999827005235,-0.048689173489710094,0.14752283692340992,0.1397847598339094,-0.05555816464432484,-0.20674033844165937,0.06216790806672587,-0.13832818092509003,0.061187524615772725,0.1105557909266969,-0.1430186815055705,-0.11477966299569146,-0.18032161173865321,-0.10782712943265817,-0.07018854029012435,-0.18512028065039238,0.16965990584593232,-0.13642601226423579,0.0014172659967248667,-0.31611830460044194,0.0019270627980275323,-0.023049020550520112,-0.13823750139946459,0.0857888504213384,-0.05242418700789949,-0.26724271635315877,0.0641543957810648,0.060849299711687135,0.17375957159931674,0.1227939943439313,0.20813994093776123,-0.08318023739660921,0.09845969153947229,0.11338291637173974,0.030519185875235458,0.03869774940082295,-0.1797633533780396,-0.01453836205011877,-0.024536129084472263,-0.13446958401019904,-0.10699655687119247,-0.14789240970638626,0.0039318266693480625
V5,0.10056822779621111,-0.0808910186357259,-0.025624627547953818,0.05941331019041152,0.024778278006936813,-0.05847072753137553,-0.2184124283657778,-0.05831873466937185,-0.1962655509459177,-0.10293365592780906,0.013397815771215314,0.28160733136160226,-0.2451115009404361,-0.037980549270134216,-0.272132648690136,-0.0033150142330033577,-0.16007607421595232,-0.02487806144336266,0.030336961764241825,-0.24299393086699358,0.15383138735681723,0.028826446926846522,-0.029288159929872125,-0.05193394844794799,0.036067665130417814,-0.09174874712779012,-0.022590780393936225,0.019595175451744204,0.0134331183369975,0.2203841434406196,0.2709911856837317,-0.004725148782384018,-0.008423970168004127,0.15770326387750713,-0.11866266142112024,0.046121396298816036,0.0997903039042749,-0.05777352381584867,-0.12589531996499842,0.12152505537200077,-0.11560270874138577,-0.022230210914067534,0.1313969041981376,-0.198233266455221,-0.04723241136035805,0.09699969019159627
V6,-0.15593751220945617,-0.08575514853178222,0.05616840100825901,0.09088627173218805,-0.06457937185529411,-0.0730518231688451,-0.013402980643537538,0.10126756792149243,0.23103304387146967,0.08541658534024621,0.2557045133391683,0.12130749289949869,-0.09264908021019021,0.2403412083601515,0.14593915295974996,0.025382946429283848,-0.17152189479340008,-0.250689281518646,-0.04668262876535718,0.19168753135627958,-0.01873371420066787,-0.17932458570468882,0.04638609660589826,0.05577061173707612,-0.11168925524638479,-0.03553264628662543,0.07310449907759743,-0.03867724157356969,-0.01650035600696413,-0.01557587438279634,0.039095017927884015,0.06960000053798529,-0.04408210851091948,0.0422116234808902,-0.028473143140143528,0.06206539788187934,-0.19101342440330313,0.0024877987385191758,-0.2629494404290166,0.17992545583172906,-0.11483092102064413,-0.054991093885340514,-0.1408623557831353,-0.22292530739051583,-0.11462851739962913,-0.12987041754606368
V7,-0.24049332565448478,-0.03591307323104306,0.02005018108875667,-0.03406746343482725,-0.09278696513740964,-0.16171070879955587,0.07145376609212617,-0.13567437896728696,-0.2894378890305311,0.15912391044269833,-0.14798646364235685,-0.18444454690273124,-0.05156927190931597,0.1365802145031937,-0.15532365213798932,-0.03456151439141546,-0.08615082250130127,-0.10949108928587759,0.11893745876339065,0.08460664982140528,0.11410480499000375,0.14313585902447415,-0.13502325345376662,0.05403282411625737,-0.1255007571253214,0.06485048144700915,-0.07268997670701888,0.0759134628332991,0.07111025699254173,0.09317946383104347,-0.015350412796152499,-0.02776703908994723,0.20164126759164602,0.0113021128210008,0.157062748263511,0.12618849808971314,0.056401179982406735,-0.09594673436745665,0.07062834056059678,0.0723973912084555,-0.09109552847503125,-0.14013407682904283,-0.028535663645815182,0.10704030930428579,-0.1942460407496213,0.04714736516810658
V8,-0.00377653375272536,-0.1852471481803078,0.14492728789093717,-0.21125988576893534,0.18650314463256887,0.016970597170304642,-0.09854275420484226,-0.1402532497453044,0.10498974524482288,-0.008442964549042031,0.18458699978176663,-0.12345022195204308,0.058038803583157786,-0.006677613358704981,0.03795070333532213,-0.11483850442946585,0.025260606932360548,0.017118597323227763,-0.11506744111517965,0.19442227790609212,0.08146439408246214,0.1219091298604996,-0.07066608317961001,0.08725869235563999,-0.07525863106239114,-0.0725440619809338,-0.025309584961649288,0.21555262546185588,-0.062234192805552854,-0.08345837660161148,0.24708541728743333,0.02545907708212271,-0.07478095737906928,-0.06331912490793402,0.21802205410288,-0.0820949674331809,-0.34884962533392166,0.16964956322736308,0.2785024448887452,0.03797149908282978,-0.09212258067037761,0.18983345816717578,0.0035828310318046473,0.006420322168121513,0.10398168862582662,0.17399343091629224
V9,0.10818362017100303,-0.09635597386813233,0.24526409746736438,0.09531173825601302,0.12735927595183094,-0.11194883203906818,0.00024077760921364932,0.13036596980184997,-0.04916775556564032,0.03508690001248188,0.060729315259634986,0.1012555233955171,0.06479577522400709,0.0502163912552406,-0.10182080739655083,-0.1113342711719924,-0.05088705977194227,0.0927213863755594,-0.3058642609144459,0.038513537201625155,-0.1735264308351828,0.01947275307509548,0.23772814611398885,-0.19561246332887208,-0.23007918231354618,0.0669492615154388,0.09439391732524165,-0.07929160183178702,0.20401223381473899,0.22439512430221417,-0.08300861414716501,-0.07216954506813247,0.041181242569589285,0.06070488362514952,0.17755895098783217,0.15165650661183996,-0.036502715815015366,-0.07630999170912867,0.03914286686689922,-0.03239714508058987,0.09602325753949298,0.12099925041580102,-0.25190414884419243,-0.023229014027747446,-0.0588461217879622,-0.024924105745007696
V10,0.07873298312349718,-0.07874681112229714,-0.1942879091992457,-0.05350994657071986,0.009749930243326682,0.1184521106065448,0.006094034878031861,0.15581690030787898,0.1781577083855193,0.09497174545915743,-0.03475944758898288,0.007275609039973277,-0.10791200367486943,-0.10650244909346139,0.11026636082863012,-0.20452742375320898,0.13346657720197494,-0.07086746520017242,0.2545302042114839,0.10837547174728794,-0.10022630224524637,0.14889375600016527,-0.27302553400277085,-0.16904676408584093,0.06265825428097532,-0.1839140762048347,-0.02878120676604918,0.03590764452133363,0.0896348654653479,0.0642172889671962,0.04097505051577294,-0.05525121573746249,0.17775898455270578,0.24436684164710654,0.22507288546697618,-0.08951673131181104,-0.1820499136674951,-0.1342757416639882,-0.1512381704201048,0.14349446968546412,0.17297314266397482,0.05819731097173605,0.17075011470853801,-0.08662243772150616,0.1319146690791263,-0.07600922941438096
